source	name	description
Drugs	YELLOW SUNSHINE	LSD (Lysergic acid diethylamide)
Drugs	YING YANG	LSD (Lysergic acid diethylamide)
Drugs	420	Marijuana
Drugs	AUNT MARY	Marijuana
Drugs	BABY	Marijuana
Drugs	BOBBY	Marijuana
Drugs	BOOM	Marijuana
Drugs	CHIRA	Marijuana
Drugs	CHRONIC	Marijuana
Drugs	DITCH	Marijuana
Drugs	GANJA	Marijuana
Drugs	GRASS	Marijuana
Drugs	GREENS	Marijuana
Drugs	HASH	Marijuana
Drugs	HERB	Marijuana
Drugs	MARY JANE	Marijuana
Drugs	NIGRA	Marijuana
Drugs	POT	Marijuana
Drugs	REEFER	Marijuana
Drugs	RIP	Marijuana
Drugs	ROOT	Marijuana
Drugs	SKUNK	Marijuana
Drugs	STACK	Marijuana
Drugs	TORCH	Marijuana
Drugs	WEED	Marijuana
Drugs	ZAMBI	Marijuana
Drugs	ADAM	MDMA (Methylenedioxy-methamphetamine)
Drugs	BEAN	MDMA (Methylenedioxy-methamphetamine)
Drugs	BLUE KISSES	MDMA (Methylenedioxy-methamphetamine)
Drugs	CLARITY	MDMA (Methylenedioxy-methamphetamine)
Drugs	CLUB DRUG	MDMA (Methylenedioxy-methamphetamine)
Drugs	DISCO BISCUITS	MDMA (Methylenedioxy-methamphetamine)
Drugs	E	MDMA (Methylenedioxy-methamphetamine)
Drugs	ECSTASY	MDMA (Methylenedioxy-methamphetamine)
Drugs	HUG DRUG	MDMA (Methylenedioxy-methamphetamine)
Drugs	LOVE DRUG	MDMA (Methylenedioxy-methamphetamine)
Drugs	LOVER’S SPEED	MDMA (Methylenedioxy-methamphetamine)
Drugs	MERCEDES	MDMA (Methylenedioxy-methamphetamine)
Drugs	MOLLY	MDMA (Methylenedioxy-methamphetamine)
Drugs	NEW YORKERS	MDMA (Methylenedioxy-methamphetamine)
Drugs	PEACE	MDMA (Methylenedioxy-methamphetamine)
Drugs	ROLL	MDMA (Methylenedioxy-methamphetamine)
