type	name	full_name_symbol
English	Zero	0
English	One	1
English	Two	2
English	Three	3
English	Four	4
English	Five	5
English	Six	6
English	Seven	7
English	Eight	8
English	Nine	9
English	Ten	10
Malay	Kosong	0
Malay	Satu	1
Malay	Dua	2
Malay	Tiga	3
Malay	Empat	4
Malay	Lima	5
Malay	Enam	6
Malay	Tujuh	7
Malay	Lapan	8
Malay	Sembilan	9
Malay	Sepuluh	10
Jawa	Siji	1
Jawa	Loro	2
Jawa	Telu	3
Jawa	Papat	4
Jawa	Limo	5
Jawa	Nem	6
Jawa	Pitu	7
Jawa	Wolu	8
Jawa	Songo	9
Jawa	Sepuluh	10
