name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
Τερψιχόρη	Terpsichore	Greek	Other deities			Terpsichore	Τερψιχόρη	, muse of dance and choral poetry	Terpsichore (Τερψιχόρη), muse of dance and choral poetry
´Ιππόκαμπος	Hippocampi	Greek	Sea deities			Hippocampi	´Ιππόκαμπος	, horses of the sea that have the upper-body of a horse and the lower-body of a fish	Hippocampi (´Ιππόκαμπος), horses of the sea that have the upper-body of a horse and the lower-body of a fish
Άττις	Attis	Greek	Rustic deities			Attis	Άττις	, vegetation god and consort of Cybele	Attis (Άττις), vegetation god and consort of Cybele
Ἄτλας (Átlas)	Atlas	Greek	The Twelve Titans						Titan forced to carry the heavens upon his shoulders by Zeus. Also Son of Iapetus.
Ἀλκιμέδων	Alcimedon	Greek	mythological figures			Alcimedon	Ἀλκιμέδων	 — the name of several mythological figures.	Alcimedon (Ἀλκιμέδων) — the name of several mythological figures.
Αγχίσης	Anchises	Greek	Kings			Anchises	Αγχίσης	, a king of Dardania and father of Aeneas	Anchises (Αγχίσης), a king of Dardania and father of Aeneas
		Greek	Amazons						Aegea, a queen of the Amazons
	Biston	Greek	mythological figures			Biston			Biston — A son of Ares and eponym of Bistonia in Thrace.
		Greek	Heroes						Pandion, the eponymous hero of the Attic tribe Pandionis, usually assumed to be one of the legendary Athenian kings Pandion I or Pandion II.
	Cratos	Greek	mythological figures			Cratos			Cratos — god of Strength.
Ζαγρεύς	Zagreus	Greek	Chthonic deities			Zagreus	Ζαγρεύς	, an underworld god, possibly a son of Zeus and Persephone	Zagreus (Ζαγρεύς), an underworld god, possibly a son of Zeus and Persephone
Ὕπνος	Hypnos	Greek	Spirits			Hypnos	Ὕπνος	, god of sleep	Hypnos (Ὕπνος), god of sleep
		Greek	Kings						Phyleus, a king of Elis
Αίγισθος	Aegisthus	Greek	Kings			Aegisthus	Αίγισθος	, lover of Clytemnestra, with whom he plotted to murder Agamemnon and seized the kingship of Mycenae	Aegisthus (Αίγισθος), lover of Clytemnestra, with whom he plotted to murder Agamemnon and seized the kingship of Mycenae
	Lycorus	Greek	mythological figures			Lycorus			Lycorus — The name of several mythological figures.
	Melas	Greek	mythological figures			Melas			Melas — The name of several mythological figures.
	Eriphyle	Greek	mythological figures			Eriphyle			Eriphyle — mother of Alcmaeon and wife of Amphiaraus.
Σωτήρ	Soter	Greek	Spirits			Soter	Σωτήρ	, male spirit of safety, preservation, and deliverance from harm	Soter (Σωτήρ), male spirit of safety, preservation, and deliverance from harm
	Epipole	Greek	mythological figures			Epipole			Epipole — A woman that went to Trojan War in disguise of a man.
Γραῖαι	The Graeae	Greek	Sea deities			The Graeae	Γραῖαι	, three ancient sea spirits who personified the white foam of the sea; they shared one eye and one tooth between them	The Graeae (Γραῖαι), three ancient sea spirits who personified the white foam of the sea; they shared one eye and one tooth between them
Αριάδνη	Ariadne	Greek	Notable women			Ariadne	Αριάδνη	, daughter of Minos, king of Crete, who aided Theseus in overcoming the Minotaur and became the wife of Dionysus	Ariadne (Αριάδνη), daughter of Minos, king of Crete, who aided Theseus in overcoming the Minotaur and became the wife of Dionysus
	Stymphalus	Greek	mythological figures			Stymphalus			Stymphalus — A son of Elatus.
	Presbon	Greek	mythological figures			Presbon			Presbon — The name of several mythological figures.
Ἀγαθοδαίμων	Agathodaemon	Greek	Spirits			Agathodaemon	Ἀγαθοδαίμων	, spirit of the vineyards and grainfields. Ensuring good luck, health, and wisdom.	Agathodaemon (Ἀγαθοδαίμων), spirit of the vineyards and grainfields. Ensuring good luck, health, and wisdom.
Ἀμυθάων	Amythaon	Greek	mythological figures			Amythaon	Ἀμυθάων	 — a son of Cretheus, father of Melampus and Bias.	Amythaon (Ἀμυθάων) — a son of Cretheus, father of Melampus and Bias.
		Greek	Kings						Pandion II, a king of Athens
	Dascylus	Greek	mythological figures			Dascylus			Dascylus — The name of several mythological figures.
		Greek	Kings						Eteocles, son of Andreus, a king of Orchomenus
	Euryanassa	Greek	mythological figures			Euryanassa			Euryanassa — The name of several mythological figures.
		Greek	mythological figures						
Ἅνθας	Anthas	Greek	mythological figures			Anthas	Ἅνθας	 — founder and king of Anthea, a part of what later became Troezen.	Anthas (Ἅνθας) — founder and king of Anthea, a part of what later became Troezen.
Αργυρών	Argyron	Greek	Sea deities			Argyron	Αργυρών		Argyron (Αργυρών)
	Clytodora	Greek	mythological figures			Clytodora			Clytodora — The name of several mythological figures.
	Naubolus	Greek	mythological figures			Naubolus			Naubolus — The name of several mythological figures.
	Adrastus	Greek	mythological figures			Adrastus			Adrastus — the name of several mythological figures.
	Arganthone	Greek	mythological figures			Arganthone			Arganthone — Famed huntress and lover of Rhesus.
Τέλης	Teles	Greek	Sea deities			Teles	Τέλης		Teles (Τέλης)
	Laonome	Greek	mythological figures			Laonome			Laonome — The name of several mythological figures.
Αφαία	Aphaea	Greek	Agricultural deities			Aphaea	Αφαία	, minor goddess of agriculture and fertility	Aphaea (Αφαία), minor goddess of agriculture and fertility
Ἓσπερος	Hesperus	Greek	Sky deities			Hesperus	Ἓσπερος	, god of Venus the evening star	Hesperus (Ἓσπερος), god of Venus the evening star
		Greek	mythological figures						
	Epistrophus	Greek	mythological figures			Epistrophus			Epistrophus — The name of several mythological figures.
	Eurycleia	Greek	mythological figures			Eurycleia			Eurycleia — The wet-nurse of Odysseus.
Αγλαΐα	Aglaea	Greek	mythological figures			Aglaea	Αγλαΐα	 — the name of several mythological figures.	Aglaea (Αγλαΐα) — the name of several mythological figures.
	Phylas	Greek	mythological figures			Phylas			Phylas — The name of several mythological figures.
Κεφισσώ	Cephisso	Greek	Other deities			Cephisso	Κεφισσώ		Cephisso (Κεφισσώ)
		Greek	Kings						Amphion and Zethus, twin sons of Zeus and kings of Thebes, who constructed the city's walls
	Erythras	Greek	mythological figures			Erythras			Erythras — The name of several mythological figures.
Γῆρας	Geras	Greek	Spirits			Geras	Γῆρας	, spirit of old age	Geras (Γῆρας), spirit of old age
Άνεμοι	Anemoi,	Greek	Sky deities			Anemoi,	Άνεμοι	, gods of the winds	Anemoi, (Άνεμοι), gods of the winds
Κάρμη	Carme	Greek	Agricultural deities			Carme	Κάρμη	, a Cretan spirit who presided over the harvest festival	Carme (Κάρμη), a Cretan spirit who presided over the harvest festival
	Phyleus	Greek	mythological figures			Phyleus			Phyleus — Son of Augeas.
son of Poseidon	Paeon	Greek	mythological figures			Paeon	son of Poseidon	 — By Helle, sister of Phrixus.	Paeon (son of Poseidon) — By Helle, sister of Phrixus.
Κόττος	Cottus	Greek	Gigantes			Cottus	Κόττος	, The Furious	Cottus (Κόττος), The Furious
Μῆτις (Mē̂tis)	Metis	Greek	The Twelve Titans						Titaness of good counsel, advice, planning, cunning, craftiness, and wisdom. Mother of Athena.
	Leos	Greek	mythological figures			Leos			Leos — name of two Attic heroes.
Λιταί	The Litae	Greek	Spirits			The Litae	Λιταί	, spirits of prayer	The Litae (Λιταί), spirits of prayer
Πειθαρχία	Peitharchia	Greek	Spirits			Peitharchia	Πειθαρχία	, spirit of discipline	Peitharchia (Πειθαρχία), spirit of discipline
Ἰνώ	Ino	Greek	Deified mortals			Ino	Ἰνώ	, a Theban princess who became the sea goddess Leucothea	Ino (Ἰνώ), a Theban princess who became the sea goddess Leucothea
Ἀμφικτύων	Amphictyon	Greek	mythological figures			Amphictyon	Ἀμφικτύων	, a king of Athens	Amphictyon (Ἀμφικτύων), a king of Athens
		Greek	Kings						Cretheus, founder-king of Iolcus
Κῆρες	The Keres	Greek	Spirits			The Keres	Κῆρες	, spirit of violent or cruel death	The Keres (Κῆρες), spirit of violent or cruel death
Παλαίμων	Palaemon	Greek	Sea deities			Palaemon	Παλαίμων	, a young sea god who aided sailors in distress	Palaemon (Παλαίμων), a young sea god who aided sailors in distress
	Pylaeus	Greek	mythological figures			Pylaeus			Pylaeus — A Pelasgian ally of the Trojans.
Ωκύθοος	Okythoos	Greek	Rustic deities			Okythoos	Ωκύθοος	 "the one running swiftly"	Okythoos (Ωκύθοος) "the one running swiftly"
Ἀντιγόνη	Antigone	Greek	mythological figures			Antigone	Ἀντιγόνη	 — the name of several mythological figures.	Antigone (Ἀντιγόνη) — the name of several mythological figures.
		Animals							Percheron
Κελαινώ	Celaeno	Greek	Sea deities			Celaeno	Κελαινώ		Celaeno (Κελαινώ)
	Echion	Greek	mythological figures			Echion			Echion — The name of several mythological figures.
Κύλληνος	Cyllenus	Greek	Rustic deities			Cyllenus	Κύλληνος		Cyllenus (Κύλληνος)
Ἀγγελία	Angelia	Greek	Spirits			Angelia	Ἀγγελία	, spirit of messages, tidings and proclamations	Angelia (Ἀγγελία), spirit of messages, tidings and proclamations
Παρθενόπη	Parthenope	Greek	Sea deities			Parthenope	Παρθενόπη		Parthenope (Παρθενόπη)
Ἀμφιλογίαι	The Amphilogiai	Greek	Spirits			The Amphilogiai	Ἀμφιλογίαι	, spirits of disputes, debate, and contention	The Amphilogiai (Ἀμφιλογίαι), spirits of disputes, debate, and contention
		Greek	Kings						Oenomaus, a king of Pisa
	Itonus	Greek	mythological figures			Itonus			Itonus — Son of Amphictyon and founder of a shrine to Athena.
	Oenotrus	Greek	mythological figures			Oenotrus			Oenotrus — A son of Lycaon.
Ἐγκέλαδος	Enceladus	Greek	Gigantes			Enceladus	Ἐγκέλαδος	, typically slain by Athena, said to be buried under Mount Etna in Sicily.	Enceladus (Ἐγκέλαδος), typically slain by Athena, said to be buried under Mount Etna in Sicily.
Σάτυροι	Satyrs	Greek	Rustic deities			Satyrs	Σάτυροι	 / Satyress, rustic fertility spirits	Satyrs (Σάτυροι) / Satyress, rustic fertility spirits
	Podalirius	Greek	mythological figures			Podalirius			Podalirius — A healer and son of Asclepius who participated in the Trojan War.
Ἐνδυμίων	Endymion	Greek	Deified mortals			Endymion	Ἐνδυμίων	, lover of Selene, granted eternal sleep so as never to age or die	Endymion (Ἐνδυμίων), lover of Selene, granted eternal sleep so as never to age or die
	Leucon	Greek	mythological figures			Leucon			Leucon — The name of several mythological figures.
Άκις	Acis	Greek	Rustic deities			Acis	Άκις		Acis (Άκις)
Παλαίστρα	Palaestra	Greek	Other deities			Palaestra	Παλαίστρα	, goddess of wrestling	Palaestra (Παλαίστρα), goddess of wrestling
Ήρα	Hera	Greek	Sky deities			Hera	Ήρα	, Queen of Heaven and goddess of the air and starry constellations	Hera (Ήρα), Queen of Heaven and goddess of the air and starry constellations
Απολλωνίς	Apollonis	Greek	Other deities			Apollonis	Απολλωνίς		Apollonis (Απολλωνίς)
Άδωνις	Adonis	Greek	Agricultural deities			Adonis	Άδωνις	, a life-death-rebirth deity	Adonis (Άδωνις), a life-death-rebirth deity
		Greek	Rustic deities						The goddesses of springtime growth
	Aphareus	Greek	mythological figures			Aphareus			Aphareus — the name of several mythological figures.
		Greek	Kings						Helenus, seer and twin brother of Cassandra, who later became king of Epirus
Φόρκυς	Phorcys	Greek	Sea deities			Phorcys	Φόρκυς	, god of the hidden dangers of the deep	Phorcys (Φόρκυς), god of the hidden dangers of the deep
		Greek	Kings						Menestheus, a king of Athens who fought on the side of the Greeks during the Trojan War
		Greek	Notable women						Clytemnestra, sister of Helen and unfaithful wife of Agamemnon
	Astacus	Greek	mythological figures			Astacus			Astacus — The name of several mythological figures.
	Epirus	Greek	mythological figures			Epirus			Epirus — Daughter of Agave and Echion, after whom the region of Epirus was named.
		Greek	Kings						Acrisius, a king of Argos
	Staphylus	Greek	mythological figures			Staphylus			Staphylus — The name of several mythological figures.
	Hyettus	Greek	mythological figures			Hyettus			Hyettus — An Argive, reputedly the first person to ever commit murder over adultery.
Μετώπη	Metope	Greek	Rustic deities			Metope	Μετώπη		Metope (Μετώπη)
	Dotis	Greek	mythological figures			Dotis			Dotis — The name of several mythological figures.
Ἁρμονία	Harmonia	Greek	Spirits			Harmonia	Ἁρμονία	, goddess of harmony and concord	Harmonia (Ἁρμονία), goddess of harmony and concord
		Greek	Kings						Pandion I, a king of Athens
	Eumaeus	Greek	mythological figures			Eumaeus			Eumaeus — Odysseus' loyal swineherd.
Ἐπιμηθεύς (Epimētheús)	Epimetheus	Greek	The Twelve Titans						Titan of afterthought and the father of excuses.
Ἀμφιάραος	Amphiaraus	Greek	Kings			Amphiaraus	Ἀμφιάραος	, a seer and king of Argos who participated in the Calydonian Boar hunt and the war of the Seven Against Thebes	Amphiaraus (Ἀμφιάραος), a seer and king of Argos who participated in the Calydonian Boar hunt and the war of the Seven Against Thebes
Ἄγριος	Agrius	Greek	mythological figures			Agrius	Ἄγριος	 — the name of several mythological figures.	Agrius (Ἄγριος) — the name of several mythological figures.
Οὔρεα (Oúrea)	The Ourea	Greek	Ancient Greek name						The gods of mountains.
		Greek	Kings						Polynices, a king of Thebes and son of Oedipus; he and his brother Eteocles killed each other
Γηγενέες	The Gegenees	Greek	Gigantes			The Gegenees	Γηγενέες	, a tribe of six-armed giants fought by the Argonauts on Bear Mountain in Mysia	The Gegenees (Γηγενέες), a tribe of six-armed giants fought by the Argonauts on Bear Mountain in Mysia
Νόμος	Nomos	Greek	Spirits			Nomos	Νόμος	, spirit of law	Nomos (Νόμος), spirit of law
Ἑκάτη	Hecate	Greek	Chthonic deities			Hecate	Ἑκάτη	, goddess of magic, witchcraft, the night, moon, ghosts, and necromancy	Hecate (Ἑκάτη), goddess of magic, witchcraft, the night, moon, ghosts, and necromancy
		Greek	Kings						Oicles, a king of Argos
		Greek	mythological figures						
		Greek	Rustic deities						Dindymene, is one of the names of Cybele
Ήφαιστος	Hephaestus	Greek	Rustic deities			Hephaestus	Ήφαιστος	, god of metalworking	Hephaestus (Ήφαιστος), god of metalworking
	Xanthius	Greek	mythological figures			Xanthius			Xanthius — A descendent of Bellerophon and father of Leucippus.
Άρκη	Arke	Greek	Sky deities			Arke	Άρκη	, messenger of the Titans and twin sister of Iris	Arke (Άρκη), messenger of the Titans and twin sister of Iris
	Lityerses	Greek	mythological figures			Lityerses			Lityerses — A son of Midas killed by Heracles, and eponym of a kind of reaping songs.
	Hippodamia	Greek	mythological figures			Hippodamia			Hippodamia — wife of Pelops.
	Apisaon	Greek	mythological figures			Apisaon			Apisaon — the name of several mythological figures.
Ἀμφιάραος	Amphiaraus	Greek	Deified mortals			Amphiaraus	Ἀμφιάραος	, a hero of the war of the Seven Against Thebes who became an oracular spirit of the Underworld after his death	Amphiaraus (Ἀμφιάραος), a hero of the war of the Seven Against Thebes who became an oracular spirit of the Underworld after his death
Ἱπποθόη	Hippothoe	Greek	Amazons			Hippothoe	Ἱπποθόη	, an Amazonian warrior, killed by Achilles at Troy	Hippothoe (Ἱπποθόη), an Amazonian warrior, killed by Achilles at Troy
Σεμελη	Semele	Greek	Deified mortals			Semele	Σεμελη	, mortal mother of Dionysus, who later was made the goddess Thyone (Θυωνη)	Semele (Σεμελη), mortal mother of Dionysus, who later was made the goddess Thyone (Θυωνη)
Ωμόδαμος	Omodamos	Greek	Other deities			Omodamos	Ωμόδαμος	, crudebake	Omodamos (Ωμόδαμος), crudebake
	Mestra	Greek	mythological figures			Mestra			Mestra — Daughter of Erysichthon who possessed the gift of shape-shifting.
		Greek	Notable women						Semele, mortal mother of Dionysus
Πρόφασις	Prophasis	Greek	Spirits			Prophasis	Πρόφασις	, spirit of excuses and pleas	Prophasis (Πρόφασις), spirit of excuses and pleas
Ἀστερία	Asteria	Greek	Amazons			Asteria	Ἀστερία	, an Amazon who was killed by Heracles	Asteria (Ἀστερία), an Amazon who was killed by Heracles
	Theophane	Greek	mythological figures			Theophane			Theophane — A lover of Poseidon, changed into an ewe.
Μάττων	Matton	Greek	Other deities			Matton	Μάττων	, demi-god of the meal, specifically the kneading of dough	Matton (Μάττων), demi-god of the meal, specifically the kneading of dough
		Greek	Heroes						Eunostus, a Boeotian hero
Ἀθάμας	Athamas	Greek	Kings			Athamas	Ἀθάμας	, a king of Orchomenus	Athamas (Ἀθάμας), a king of Orchomenus
	Promedon	Greek	mythological figures			Promedon			Promedon — Possibly a follower of Orpheus.
		Greek	Kings						Nycteus, a king of Thebes
	Pandora II	Greek	mythological figures			Pandora II			Pandora II — A daughter of Deucalion and Pyrrha.
Ἀρετώ	Areto	Greek	Amazons			Areto	Ἀρετώ	, an Amazon	Areto (Ἀρετώ), an Amazon
	Phrastor	Greek	mythological figures			Phrastor			Phrastor — The name of several mythological figures.
Ζέφυρος	Zephyrus	Greek	Sky deities			Zephyrus	Ζέφυρος	, god of the west wind	Zephyrus (Ζέφυρος), god of the west wind
Τριπτόλεμος	Triptolemus	Greek	Agricultural deities			Triptolemus	Τριπτόλεμος	, god of farming and agriculture, he brought agriculture to Greece	Triptolemus (Τριπτόλεμος), god of farming and agriculture, he brought agriculture to Greece
Κλυμένη (Clyménē)	Clymene	Greek	The Twelve Titans						Titaness of renown, fame, and infamy, and wife of Iapetus.
	Hippothous	Greek	mythological figures			Hippothous			Hippothous — The name of several mythological figures.
Άδραστος	Adrastus	Greek	Kings			Adrastus	Άδραστος	, a king of Argos and one of the Seven Against Thebes	Adrastus (Άδραστος), a king of Argos and one of the Seven Against Thebes
Δειπνεύς	Deipneus	Greek	Other deities			Deipneus	Δειπνεύς	, demi-god of the preparation of meals, specifically the making of bread	Deipneus (Δειπνεύς), demi-god of the preparation of meals, specifically the making of bread
		Greek	Inmates of Tartarus						Ixion, a king of the Lapiths who attempted to rape Hera and was bound to a flaming wheel in Tartarus
	Pterelaos	Greek	mythological figures			Pterelaos			Pterelaos — The name of several mythological figures.
Αβρώτη	Abrota	Greek	mythological figures			Abrota	Αβρώτη	 — wife of Nisos, king of Megara.	Abrota (Αβρώτη) — wife of Nisos, king of Megara.
Αρχή	Arche	Greek	Other deities			Arche	Αρχή	, muse of origins	Arche (Αρχή), muse of origins
Ευνομία	Eunomia	Greek	Rustic deities			Eunomia	Ευνομία	, spirit of good order, and springtime goddess of green pastures	Eunomia (Ευνομία), spirit of good order, and springtime goddess of green pastures
	Arge	Greek	mythological figures			Arge			Arge — The name of several mythological figures.
Πολυμνία	Polyhymnia	Greek	Other deities			Polyhymnia	Πολυμνία	 or (Πολύμνια), muse of sacred poetry	Polyhymnia (Πολυμνία) or (Πολύμνια), muse of sacred poetry
	Calydon	Greek	mythological figures			Calydon			Calydon — Eponym of Calydon Aetolia.
		Greek	Kings						Charnabon, a king of the Getae
		Greek	Rustic deities						The goddesses of seasons of the year
Ἀλάστωρ	Alastor	Greek	Spirits			Alastor	Ἀλάστωρ	, spirit of blood feuds and vengeance	Alastor (Ἀλάστωρ), spirit of blood feuds and vengeance
		Greek	mythological figures						
Καιρός	Caerus	Greek	Spirits			Caerus	Καιρός	, spirit of opportunity	Caerus (Καιρός), spirit of opportunity
	Leuconoe	Greek	mythological figures			Leuconoe			Leuconoe — The name of several mythological figures.
	Crete	Greek	mythological figures			Crete			Crete — The name of several mythological figures.
Διόνυσος, Diónysos	Dionysus	Greek	Deity			Dionysus	Διόνυσος, Diónysos	/Bacchus (Βάκχος, Bákkhos) God of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater. He is the twice-born son of Zeus and Semele, in that Zeus snatched him from his mother's womb and stitched Dionysius into his own thigh and carried him until he was ready to be born. In art he is depicted as either an older bearded god (particularly before 430 BC) or an effeminate, long-haired youth (particularly after 430 BC). His attributes include the thyrsus, a drinking cup, the grape vine, and a crown of ivy. He is often in the company of his thiasos, a group of attendants including satyrs, maenads, and his old tutor Silenus. The consort of Dionysus was Ariadne. It was once held that Dionysius was a later addition to the Greek pantheon, but the discovery of Linear B tablets confirm his status as a deity from an early period. Bacchus was another name for him in Greek, and came into common usage among the Romans.[7] His sacred animals include dolphins, serpents, tigers, and donkeys.	Dionysus (Διόνυσος, Diónysos)/Bacchus (Βάκχος, Bákkhos) God of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater. He is the twice-born son of Zeus and Semele, in that Zeus snatched him from his mother's womb and stitched Dionysius into his own thigh and carried him until he was ready to be born. In art he is depicted as either an older bearded god (particularly before 430 BC) or an effeminate, long-haired youth (particularly after 430 BC). His attributes include the thyrsus, a drinking cup, the grape vine, and a crown of ivy. He is often in the company of his thiasos, a group of attendants including satyrs, maenads, and his old tutor Silenus. The consort of Dionysus was Ariadne. It was once held that Dionysius was a later addition to the Greek pantheon, but the discovery of Linear B tablets confirm his status as a deity from an early period. Bacchus was another name for him in Greek, and came into common usage among the Romans.[7] His sacred animals include dolphins, serpents, tigers, and donkeys.
		Greek	Notable women						Penelope, loyal wife of Odysseus
	Mantius	Greek	mythological figures			Mantius			Mantius — A son of Melampus and father of Cleitus.
	Deucalion	Greek	mythological figures			Deucalion			Deucalion — Survivor of the Deluge.
	Eurydamas	Greek	mythological figures			Eurydamas			Eurydamas — The name of several mythological figures.
		Greek	Kings						Actaeus, first king of Attica
	Hyperphas	Greek	mythological figures			Hyperphas			Hyperphas — father of Euryganeia and Euryanassa.
Κυδοιμός	Kydoimos	Greek	Spirits			Kydoimos	Κυδοιμός	, spirit of the din of battle, confusion, uproar, and hubbub	Kydoimos (Κυδοιμός), spirit of the din of battle, confusion, uproar, and hubbub
	Cycnus	Greek	mythological figures			Cycnus			Cycnus — The name of several mythological figures, most of whom were transformed into swans.
	Deileon	Greek	mythological figures			Deileon			Deileon — The name of several mythological figures.
Μουσική	Mousika or Musica	Greek	Rustic deities			Mousika or Musica	Μουσική	, the morning hour of music and study	Mousika or Musica (Μουσική), the morning hour of music and study
		Greek	Kings						Eleusis, eponym and king of Eleusis, Attica
		Greek	Kings						Periphas, legendary king of Attica who Zeus turned into an eagle.
Εὐρυνόμη (Eurynómē)	Eurynome	Greek	The Twelve Titans						Titaness of water-meadows and pasturelands, and mother of the three Charites by Zeus.
		Greek	Kings						Nestor, a king of Pylos who sailed with the Argonauts, participated in the Calydonian Boar hunt and fought with the Greek armies in the Trojan War
	Periboea	Greek	mythological figures			Periboea			Periboea — The name of several mythological figures.
	Pyramus	Greek	mythological figures			Pyramus			Pyramus — Tragic lover of Thisbe, on whom Shakespeare's Romeo is based.
	Iasus	Greek	mythological figures			Iasus			Iasus — The name of several mythological figures.
Ἀγχίαλος	Anchialus	Greek	mythological figures			Anchialus	Ἀγχίαλος	 — the name of several mythological figures.	Anchialus (Ἀγχίαλος) — the name of several mythological figures.
		Greek							
	Prothoenor	Greek	mythological figures			Prothoenor			Prothoenor — one of the Greek leaders in the Trojan War.
Ανδρομέδα	Andromeda	Greek	Notable women			Andromeda	Ανδρομέδα	, wife of Perseus, who was placed among the constellations after her death	Andromeda (Ανδρομέδα), wife of Perseus, who was placed among the constellations after her death
	Argia	Greek	mythological figures			Argia			Argia — The name of several mythological characters.
Ενυώ	Enyo	Greek	Sea deities			Enyo	Ενυώ		Enyo (Ενυώ)
		Greek	Kings						Tisamenus, a king of Argos, Mycenae, and Sparta
		Greek	Notable women						Phaedra, daughter of Minos and wife of Theseus
		Greek	Kings						Temenus, a king of Argos and descendent of Heracles
Φιλόμελος	Philomelus	Greek	Agricultural deities			Philomelus	Φιλόμελος	, agricultural demi-god inventor of the wagon and the plough	Philomelus (Φιλόμελος), agricultural demi-god inventor of the wagon and the plough
	Iphthime	Greek	mythological figures			Iphthime			Iphthime — The name of several mythological figures.
Δάφνη	Daphne	Greek	Rustic deities			Daphne	Δάφνη		Daphne (Δάφνη)
Ἀναξίβια	Anaxibia	Greek	mythological figures			Anaxibia	Ἀναξίβια	 — the name of several mythological figures.	Anaxibia (Ἀναξίβια) — the name of several mythological figures.
		Greek	Kings						Laomedon, a king of Troy and father of Priam
Άρκτος	Arktos	Greek	Rustic deities			Arktos	Άρκτος	, night sky, constellation	Arktos (Άρκτος), night sky, constellation
		Greek	mythological figures						Tyres, a companion of Aeneas along with his brother Teuthras.[5]
Πολύφημος	Polyphemus	Greek	Gigantes			Polyphemus	Πολύφημος	, a cyclops who briefly captured Odysseus and his men, only to be overcome and blinded by the hero	Polyphemus (Πολύφημος), a cyclops who briefly captured Odysseus and his men, only to be overcome and blinded by the hero
Θάνατος	Thanatos	Greek	Spirits			Thanatos	Θάνατος	, spirit of death and mortality	Thanatos (Θάνατος), spirit of death and mortality
Λιγεία	Ligeia	Greek	Sea deities			Ligeia	Λιγεία		Ligeia (Λιγεία)
Ασωπός	Asopus	Greek	Rustic deities			Asopus	Ασωπός		Asopus (Ασωπός)
Ἀγαύη	Agave	Greek	mythological figures			Agave	Ἀγαύη	 — mother of Cadmus and worshiper of Dionysus.	Agave (Ἀγαύη) — mother of Cadmus and worshiper of Dionysus.
Ευθυμία	Euthymia	Greek	Other deities			Euthymia	Ευθυμία	 "good mood"	Euthymia (Ευθυμία) "good mood"
Βορυσθενίς	Borysthenis	Greek	Other deities			Borysthenis	Βορυσθενίς		Borysthenis (Βορυσθενίς)
	Dryope	Greek	mythological figures			Dryope			Dryope — A woman transformed into a black poplar.
	Lysianassa	Greek	mythological figures			Lysianassa			Lysianassa — The name of several mythological figures.
		Greek	Other deities						Muses worshiped at Sicyon
Ορθοσίη	Orthosie	Greek	Rustic deities			Orthosie	Ορθοσίη	 "prosperity"	Orthosie (Ορθοσίη) "prosperity"
		Greek							
	Eurymachus	Greek	mythological figures			Eurymachus			Eurymachus — The name of several mythological figures.
		Animals							Francolin
Λευκοθέα	Leucothea	Greek	Sea deities			Leucothea	Λευκοθέα	, a sea goddess who aided sailors in distress	Leucothea (Λευκοθέα), a sea goddess who aided sailors in distress
	Iodame	Greek	mythological figures			Iodame			Iodame — Daughter of Itonus, turned to stone by Athena.
Ῥαδάμανθυς	Rhadamanthys	Greek	Chthonic deities			Rhadamanthys	Ῥαδάμανθυς	, former mortal lawmaker and judge of the men of Asia	Rhadamanthys (Ῥαδάμανθυς), former mortal lawmaker and judge of the men of Asia
Ἀμφιάραος	Amphiaraus	Greek	Chthonic deities			Amphiaraus	Ἀμφιάραος	, a hero of the war of the Seven Against Thebes who became an oracular spirit of the Underworld after his death	Amphiaraus (Ἀμφιάραος), a hero of the war of the Seven Against Thebes who became an oracular spirit of the Underworld after his death
	Eurypyle	Greek	mythological figures			Eurypyle			Eurypyle — The name of several mythological figures.
Αίας ο Μέγας	Ajax the Great	Greek	Heroes			Ajax the Great	Αίας ο Μέγας	, a hero of the Trojan War and king of Salamis	Ajax the Great (Αίας ο Μέγας), a hero of the Trojan War and king of Salamis
		Greek	Kings						Assaracus, a king of Dardania
Αὖρα	Aura	Greek	Sky deities			Aura	Αὖρα	, goddess of the breeze and the fresh, cool air of early morning	Aura (Αὖρα), goddess of the breeze and the fresh, cool air of early morning
	Emathion	Greek	mythological figures			Emathion			Emathion — The name of several mythological figures.
Αταλάντη	Atalanta	Greek	Notable women			Atalanta	Αταλάντη	, fleet-footed heroine who participated in the Calydonian Boar hunt	Atalanta (Αταλάντη), fleet-footed heroine who participated in the Calydonian Boar hunt
	Saon	Greek	mythological figures			Saon			Saon — The name of several mythological figures.
		Greek	Kings						Oenopion, a king of Chios
	Canthus	Greek	mythological figures			Canthus			Canthus — The name of several mythological figures.
Αἴσα	Aisa	Greek	Spirits			Aisa	Αἴσα	, personification of lot and fate	Aisa (Αἴσα), personification of lot and fate
	Thoön	Greek	mythological figures			Thoön			Thoön — The name of several mythological figures.
	Ptous	Greek	mythological figures			Ptous			Ptous — eponym of Mount Ptous in Boeotia.
	Cyparissus	Greek	mythological figures			Cyparissus			Cyparissus — A boy beloved by Apollo and transformed into a cypress tree after his death.
Γλύκων	Glycon	Greek	Other deities			Glycon	Γλύκων	, a snake god	Glycon (Γλύκων), a snake god
	Rhoeo	Greek	mythological figures			Rhoeo			Rhoeo — A lover of Apollo.
