name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
	Sparta	Greek	mythological figures			Sparta			Sparta — wife of Lacedaemon for whom the city of Sparta was named.
	Dolops	Greek	mythological figures			Dolops			Dolops — The name of several mythological figures.
	Polycaste	Greek	mythological figures			Polycaste			Polycaste — The name of several mythological figures.
	Areithous	Greek	mythological figures			Areithous			Areithous — The name of several mythological figures.
	Astyanassa	Greek	mythological figures			Astyanassa			Astyanassa — Helen of Troy's maid.
Ερμής	Hermes	Greek	Rustic deities			Hermes	Ερμής	, god of herds and flocks, of roads and boundary stones, and the god of thieves.	Hermes (Ερμής), god of herds and flocks, of roads and boundary stones, and the god of thieves.
Πόρος	Poros	Greek	Spirits			Poros	Πόρος	, spirit of expediency, the means of accomplishing or providing, contrivance and device	Poros (Πόρος), spirit of expediency, the means of accomplishing or providing, contrivance and device
Παλαίμων	Palaemon	Greek	Deified mortals			Palaemon	Παλαίμων	, a Theban prince, made into a sea god along with his mother, Ino	Palaemon (Παλαίμων), a Theban prince, made into a sea god along with his mother, Ino
		Greek	Spirits						Roma, a female deity who personified the city of Rome
Ζεύς	Zeus	Greek	Sky deities			Zeus	Ζεύς	, King of Heaven and god of the sky, clouds, thunder, and lightning	Zeus (Ζεύς), King of Heaven and god of the sky, clouds, thunder, and lightning
Ἀμφινόμη	Amphinome	Greek	mythological figures			Amphinome	Ἀμφινόμη	 — the name of several mythological figures.	Amphinome (Ἀμφινόμη) — the name of several mythological figures.
	Laophoon	Greek	mythological figures			Laophoon			Laophoon — A Paeonian ally of the Trojans in the Trojan War.
Πέρσης (Pérsēs)	Perses	Greek	The Twelve Titans						Titan of destruction.
Βρέμουσα	Bremusa	Greek	Amazons			Bremusa	Βρέμουσα	, an Amazonian warrior, killed by Idomeneus at Troy	Bremusa (Βρέμουσα), an Amazonian warrior, killed by Idomeneus at Troy
Ὑγεία	Hygieia	Greek	Agricultural deities			Hygieia	Ὑγεία	, goddess of cleanliness and good health	Hygieia (Ὑγεία), goddess of cleanliness and good health
	Hyperbius	Greek	mythological figures			Hyperbius			Hyperbius — The name of several mythological figures.
Ἀστραῖος	Astraios	Greek	Sky deities			Astraios	Ἀστραῖος	, Titan god of stars and planets, and the art of astrology	Astraios (Ἀστραῖος), Titan god of stars and planets, and the art of astrology
Φλεγέθων	Phlegethon	Greek	Chthonic deities			Phlegethon	Φλεγέθων	, the river of fire	Phlegethon (Φλεγέθων), the river of fire
Ἀντήνωρ	Antenor	Greek	mythological figures			Antenor	Ἀντήνωρ	 — a counselor of Priam.	Antenor (Ἀντήνωρ) — a counselor of Priam.
Κλωθώ	Clotho	Greek	Spirits			Clotho	Κλωθώ	, the spinner of the life thread	Clotho (Κλωθώ), the spinner of the life thread
		Greek	Kings						Asterion, a king of Crete
	Teuthras	Greek	mythological figures			Teuthras			Teuthras — an Athenian, founder and eponym of Teuthrone in Laconia.[2]
father of Agastrophus	Paeon	Greek	mythological figures			Paeon	father of Agastrophus	 — A Paeonian, father of Agastrophus and Laophoon.	Paeon (father of Agastrophus) — A Paeonian, father of Agastrophus and Laophoon.
Αχελώος	Achelous	Greek	Sea deities			Achelous	Αχελώος	, shark-shaped sea spirit[citation needed]	Achelous (Αχελώος), shark-shaped sea spirit[citation needed]
Στερόπης	Steropes	Greek	Gigantes			Steropes	Στερόπης		Steropes (Στερόπης)
	Polypheides	Greek	mythological figures			Polypheides			Polypheides — The name of several mythological figures.
Πολυδεύκης	Pollux	Greek	Deified mortals			Pollux	Πολυδεύκης		Pollux (Πολυδεύκης)
Σωτηρία	Soteria	Greek	Spirits			Soteria	Σωτηρία	, female personification of safety, preservation, and deliverance from harm	Soteria (Σωτηρία), female personification of safety, preservation, and deliverance from harm
Ότος	Otus or Otos	Greek	Gigantes			Otus or Otos	Ότος		Otus or Otos (Ότος)
	Gorgophone	Greek	mythological figures			Gorgophone			Gorgophone — Daughter of Perseus and Andromeda.
Εὐρυπύλη	Eurypyle	Greek	Amazons			Eurypyle	Εὐρυπύλη	, an Amazon leader who invaded Ninus and Babylonia	Eurypyle (Εὐρυπύλη), an Amazon leader who invaded Ninus and Babylonia
Δεινώ	Deino	Greek	Sea deities			Deino	Δεινώ		Deino (Δεινώ)
Λύπη	Lupe	Greek	Spirits			Lupe	Λύπη	 "pain, grief, sadness"	Lupe (Λύπη) "pain, grief, sadness"
		Greek	mythological figures						Amycus, son of Poseidon and king of the Bebryces
		Greek	Kings						Erginus, a king of Minyean Orchomenus in Boeotia
		Animals							Mangabey
	Messene	Greek	mythological figures			Messene			Messene — An ambitious Argive princess for whom Messenia was named.
Ἀντίλοχος	Antilochus	Greek	Heroes			Antilochus	Ἀντίλοχος	, Son of Nestor sacrificed himself to save his father in the Trojan War along with other deeds of valor	Antilochus (Ἀντίλοχος), Son of Nestor sacrificed himself to save his father in the Trojan War along with other deeds of valor
	Aretaon	Greek	mythological figures			Aretaon			Aretaon — The name of several mythological figures.
Πυρόεις	Pyroeis	Greek	Sky deities			Pyroeis	Πυρόεις	, god of Areios, the planet Mars	Pyroeis (Πυρόεις), god of Areios, the planet Mars
		Greek	Kings						Pirithoös, king of the Lapiths and husband of Hippodamia, at whose wedding the Battle of Lapiths and Centaurs occurred
	Nicippe	Greek	mythological figures			Nicippe			Nicippe — The name of several mythological figures.
Φάνης (Phánēs)	Phanes	Greek	Ancient Greek name						The god of procreation in the Orphic tradition.
Φοίβη (Phoíbē)	Phoebe	Greek	The Twelve Titans						Titaness of the "bright" intellect and prophecy, and consort of Koios.
		Greek	mythological figures						Actaeus, first king of Attica
	Dexamenus	Greek	mythological figures			Dexamenus			Dexamenus — The name of several mythological figures.
Ηάρπυιαι	The Harpies	Greek	Sea deities			The Harpies	Ηάρπυιαι	, winged spirits of sudden, sharp gusts of wind	The Harpies (Ηάρπυιαι), winged spirits of sudden, sharp gusts of wind
Ὑπερίων (Hyperíōn)	Hyperion	Greek	The Twelve Titans			Titan of light. With Theia, he is the father of Helios	the sun	, Selene (the moon), and Eos (the dawn).	Titan of light. With Theia, he is the father of Helios (the sun), Selene (the moon), and Eos (the dawn).
	Chryses	Greek	mythological figures			Chryses			Chryses — A priest of Apollo and father of Chryseis.
	Strophius	Greek	mythological figures			Strophius			Strophius — The name of several mythological figures.
		Greek	Seers/oracles						Tiresias, blind prophet of Thebes
Χάρυβδις	Charybdis	Greek	Sea deities			Charybdis	Χάρυβδις	, a sea monster and spirit of whirlpools and the tide	Charybdis (Χάρυβδις), a sea monster and spirit of whirlpools and the tide
	Icarus	Greek	mythological figures			Icarus			Icarus — The son of Daedalus, who fell to his death.
		Animals							Aberdevine
Σκύλλα	Scylla	Greek	Sea deities			Scylla	Σκύλλα	, monstrous sea goddess	Scylla (Σκύλλα), monstrous sea goddess
Ἡμιθέα	Hemithea	Greek	mythological figures			Hemithea	Ἡμιθέα	 — princess of the Island of Naxos who leapt into the sea to escape her father's wrath; Apollo transformed her into demi-goddess.	Hemithea (Ἡμιθέα) — princess of the Island of Naxos who leapt into the sea to escape her father's wrath; Apollo transformed her into demi-goddess.
	Arceophon	Greek	mythological figures			Arceophon			Arceophon — A Phoenician man who committed suicide after being spurned by his beloved.
Ίρις	Iris	Greek	Sky deities			Iris	Ίρις	, goddess of the rainbow and divine messenger	Iris (Ίρις), goddess of the rainbow and divine messenger
		Animals							Brachet
